                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  1.034,                0.92029,                 1.3096,                0.91262,                0.88351,                0.89928,                0.57083,                  1.372,                0.76779,                 1.3658,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.0163,                0.90745,                  1.295,                0.89267,                0.89876,                0.90826,                0.54833,                 1.4728,                0.78558,                 1.4818,             0.00022009,             0.00022009,             0.00022009
                     84,                  1.029,                0.89736,                 1.3053,                0.87285,                0.86039,                0.87859,                0.56129,                 1.3687,                0.80674,                 1.3571,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.0252,                0.88921,                 1.3013,                0.90252,                 0.8738,                 0.9111,                0.55822,                 1.3995,                0.75474,                  1.391,             0.00019809,             0.00019809,             0.00019809
                     86,                  1.001,                0.89447,                  1.288,                0.88851,                0.91322,                 0.9138,                0.55607,                  1.382,                0.74662,                 1.3586,             0.00018709,             0.00018709,             0.00018709
                     87,                0.99084,                0.84022,                 1.2817,                0.90793,                0.89504,                0.91546,                0.56696,                 1.4094,                0.72837,                 1.4038,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.0029,                0.87542,                  1.288,                0.92321,                0.87931,                0.90472,                0.56269,                 1.4442,                0.73505,                  1.432,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.0039,                0.89712,                 1.2923,                0.91867,                 0.8651,                0.90102,                 0.5739,                 1.4187,                0.74737,                 1.3961,              0.0001541,              0.0001541,              0.0001541
                     90,                0.99397,                0.87712,                  1.289,                0.89266,                0.89462,                0.90353,                 0.5653,                 1.4005,                0.75465,                 1.3942,              0.0001431,              0.0001431,              0.0001431
                     91,                0.80354,                0.60553,                 1.2618,                0.94723,                0.87093,                0.90933,                0.63673,                  1.164,                0.75527,                 1.1811,              0.0001321,              0.0001321,              0.0001321
                     92,                0.72352,                0.46805,                 1.2179,                0.89838,                0.88295,                0.89603,                0.63649,                 1.1804,                0.74652,                 1.2153,              0.0001211,              0.0001211,              0.0001211
                     93,                0.68366,                0.43285,                 1.1855,                0.94654,                 0.8444,                0.89463,                0.62951,                 1.1896,                0.75918,                 1.2433,              0.0001101,              0.0001101,              0.0001101
                     94,                0.66426,                0.43316,                  1.184,                0.88676,                0.88553,                0.89954,                0.62294,                 1.2188,                0.76523,                 1.2763,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.66682,                0.42371,                  1.186,                0.87903,                0.89025,                0.89157,                0.62331,                  1.221,                0.74288,                 1.2849,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.66641,                0.42891,                 1.1776,                0.88902,                0.86741,                0.89038,                 0.6244,                 1.2123,                0.73305,                 1.2883,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.63922,                 0.4123,                 1.1561,                0.89339,                0.88295,                0.90195,                0.61502,                 1.2195,                 0.7364,                 1.3049,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.62167,                0.40388,                 1.1533,                0.89605,                0.88573,                 0.8952,                0.62235,                 1.2267,                0.72226,                 1.3003,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.60893,                0.38688,                 1.1502,                0.88032,                0.89412,                0.89447,                0.61904,                 1.2366,                0.75905,                  1.342,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.60232,                0.38658,                 1.1345,                0.87802,                0.88512,                0.89231,                0.62596,                 1.2032,                0.75865,                 1.3114,             3.3108e-05,             3.3108e-05,             3.3108e-05
